Sample_ID,d7Li,lgm,glacier,river_width,perprob,magtm,MAT,PET,SaltDep,rorc,rclay,tot_per_sil_sed_su_ss,tot_per_carb_sed_sc_sm_ev,tot_per_mt_plt_vl_py,random,mean_dem,acc_base,acc_map,acc_depth
YUKON MAIN STEM,15.16,39.4202,2.20528,351,0.614081,-0.911368,-4.999522,480.675245,0,190.872292,13.846963,33.46595,30.84027,34.1897,0.452685313,2008.897,607.07,301.58,97.36
YUKON MAIN STEM,15.45,43.8321,55.79778,759,0.654814,-1.120977,-5.303025,475.313976,0,188.088088,14.305655,32.7865,32.98273,33.38882,0.525071596,2089.472,694.28,292.05,97.62
ANVIK,29.52,0,0,58,0.264031,0.649902,-2.271455,400.864165,-0.000035,231.784834,12.390683,39.52317,0,60.45925,0.132154982,675.795,90.95,392.32,101.05
ROSS RIVER,14.21,100,0,11,0.103061,1.049713,-4.637017,496.313822,-0.000012,163.934854,15.429686,25.07068,60.6317,14.14043,0.875382647,2690.464,1685.71,380.58,99.34
PELLY RIVER,14.24,100,0,63,0.112229,1.07565,-4.552801,491.87644,-0.000015,165.281235,15.25737,28.33471,51.63821,19.9563,0.831746112,2821.438,1307.2,402.23,99.98
MACMILLAN RIVER,8.58,100,0,62,0.398653,-0.167908,-6.032032,438.201812,-0.000001,134.524022,15.956465,34.6989,49.484,14.03737,0.983032767,3419.376,1809.79,430.48,100.54
MINER RIVER,9.03,0.8365,0,14,0.917018,-2.514458,-7.449386,449.372715,-0.000002,184.559802,16.667662,41.9791,58.02034,0,0.47394837,2183.536,1745.11,275.8,100.01
FISHING BRANCH RIVER,14.11,0,0,11,0.938412,-2.651689,-7.731818,441.154707,-0.000218,182.779626,16.635708,43.85342,56.08114,0,0.461649057,2175.834,1850.35,280.66,105.98
WHITESTONE RIVER,8.45,0,0,25,0.996654,-3.524292,-7.959389,416.066036,-0.000001,187.521122,19.09306,99.99991,0,0,0.642400455,1074.45,1761.65,307.53,100.95
FISHING BRANCH RIVER,12.17,0,0,18,0.956676,-2.828804,-7.970162,439.7982,-0.000021,185.407983,17.148263,66.28107,33.71254,0,0.997618901,1805.592,1756.44,265.13,100.65
FISHING BRANCH RIVER,13.1,0,0,62,0.95708,-2.865451,-7.974522,440.318723,-0.000001,185.425069,17.300877,67.70278,32.29699,0,0.108791654,1759.346,1744.99,265.38,100
INNOKO,27.81,0.8418,0,11,0.230357,0.858975,-2.470961,465.882507,0,224.78391,12.504445,88.90957,2.17182,8.91845,0.997329959,828.33,361.3,453.17,100.36
TOLSTOI,26.63,2.2791,0,27,0.286002,0.772953,-2.203261,459.643603,-0.000835,226.108143,13.464148,78.48603,14.17014,7.17691,0.769309791,944.274,465.35,577.53,129.06
DISHNA,25.18,0.645,0,11,0.281494,0.760916,-2.196734,456.220789,-0.00028,226.674847,14.266958,73.99433,5.20354,20.6902,0.14386415,916.741,389.61,500.53,108.17
KANTISHNA RIVER MS DNP,17.03,27.9283,0.52702,71,0.235954,0.819246,-3.623556,458.09012,-0.000003,212.048592,12.612208,43.54724,44.75673,4.02506,0.485893201,1670.931,263.93,427.41,95.27
TOKLAT,13.11,12.9966,1.2173,62,0.452028,-0.014267,-3.170596,465.176531,-0.000055,210.05856,13.916654,57.02973,33.56352,7.81057,0.563150899,1862.309,245.22,486.93,101.55
NENANA CLEAR WATER,20.45,0,0,50,0.295656,0.373433,-3.005342,538.775503,-0.000136,227.639703,11.433918,100,0,0,0.01828345,333.078,240.89,342.78,100.35
MALAMUTE FORK JOHN,18.46,0,0,62,0.872886,-1.516811,-6.097085,430.076454,-0.000593,194.961817,12.669104,18.89164,79.70152,1.22904,0.758999164,1790.788,427.66,377.27,118.66
MIDDLE FORK KOYUKUK,14.98,45.2446,0,51,0.960902,-3.949089,-6.736931,399.565706,-0.000015,181.275011,13.363377,0,97.01785,2.97772,0.439338015,2376.317,388.7,272.64,100.31
HAMMOND,12.44,18.9346,0,85,0.971048,-4.037846,-6.858723,391.251055,-0.000245,183.176116,13.1804,0,99.97545,0,0.620852399,2544.753,420.94,293.09,107.61
CLEAR_CR_KANTISHNA,23.55,0,0,7,0.457362,0.074991,-3.439062,544.738106,-0.002223,196.939659,13.687151,100,0,0,0.317258542,935.955,645.4,1061.73,246.18
Donjek River above Alaska Highway,16.3,100,0,165,0.770387,-0.467238,-3.575488,506.621733,-0.002044,190.403096,12.010964,95.64814,0,4.14748,0.391911187,4129.042,555.13,1008.81,230.6
